latitude,longitude,timestamp,unit,trip_number
40.99791,-74.30797,2023-12-10 22:14:20+00:00,2000,6
40.99809,-74.30783,2023-12-10 22:14:21+00:00,2000,6
40.99829,-74.30767,2023-12-10 22:14:23+00:00,2000,6
40.99848,-74.30751,2023-12-10 22:14:24+00:00,2000,6
40.99867,-74.30733,2023-12-10 22:14:26+00:00,2000,6
40.99885,-74.30715,2023-12-10 22:14:28+00:00,2000,6
40.99902,-74.30696,2023-12-10 22:14:29+00:00,2000,6
40.99919,-74.30677,2023-12-10 22:14:31+00:00,2000,6
40.99935,-74.30656,2023-12-10 22:14:32+00:00,2000,6
40.9995,-74.30636,2023-12-10 22:14:33+00:00,2000,6
40.99988,-74.30583,2023-12-10 22:14:37+00:00,2000,6
41.00102,-74.30425,2023-12-10 22:14:48+00:00,2000,6
41.00125,-74.30394,2023-12-10 22:14:50+00:00,2000,6
41.0014,-74.30374,2023-12-10 22:14:52+00:00,2000,6
41.00156,-74.30354,2023-12-10 22:14:53+00:00,2000,6
41.00172,-74.30335,2023-12-10 22:14:55+00:00,2000,6
41.0019,-74.30316,2023-12-10 22:14:56+00:00,2000,6
41.00207,-74.30298,2023-12-10 22:14:58+00:00,2000,6
41.00225,-74.30281,2023-12-10 22:14:59+00:00,2000,6
41.00243,-74.30265,2023-12-10 22:15:01+00:00,2000,6
41.00261,-74.3025,2023-12-10 22:15:02+00:00,2000,6
41.0028,-74.30235,2023-12-10 22:15:03+00:00,2000,6
41.00301,-74.3022,2023-12-10 22:15:05+00:00,2000,6
41.0032,-74.30208,2023-12-10 22:15:06+00:00,2000,6
41.00339,-74.30196,2023-12-10 22:15:08+00:00,2000,6
41.00359,-74.30184,2023-12-10 22:15:09+00:00,2000,6
41.0038,-74.30174,2023-12-10 22:15:11+00:00,2000,6
41.00401,-74.30164,2023-12-10 22:15:12+00:00,2000,6
41.00422,-74.30156,2023-12-10 22:15:14+00:00,2000,6
41.00443,-74.30148,2023-12-10 22:15:15+00:00,2000,6
41.00464,-74.30141,2023-12-10 22:15:17+00:00,2000,6
41.00484,-74.30136,2023-12-10 22:15:18+00:00,2000,6
41.00505,-74.30131,2023-12-10 22:15:19+00:00,2000,6
41.00526,-74.30128,2023-12-10 22:15:21+00:00,2000,6
